X,Y,Z
494198.53125,5420712.0,259.8299865722656
494198.5625,5420715.0,260.45001220703125
494198.5625,5420718.0,261.45001220703125
494198.53125,5420720.5,263.2699890136719
494199.125,5420745.0,277.0299987792969
494199.125,5420742.5,276.1600036621094
494199.125,5420740.0,275.3500061035156
494199.21875,5420738.0,272.5799865722656
494199.21875,5420735.5,271.8699951171875
494199.25,5420733.0,271.1499938964844
494199.3125,5420731.0,269.1499938964844
494199.3125,5420728.5,268.5199890136719
494199.375,5420726.0,266.4800109863281
494199.375,5420723.5,265.67999267578125
494199.4375,5420721.0,263.54998779296875
494199.4375,5420718.5,262.6099853515625
494199.5,5420716.0,260.6600036621094
494199.5,5420713.5,260.0
494199.5,5420711.0,259.3599853515625
494199.5,5420708.0,258.70001220703125
494199.5,5420705.5,258.1300048828125
494199.46875,5420702.5,257.70001220703125
494199.4375,5420700.0,257.3599853515625
494199.4375,5420697.0,257.19000244140625
494199.40625,5420694.0,257.0400085449219
494199.21875,5420674.5,255.61000061035156
494199.09375,5420660.5,254.8300018310547
494199.03125,5420657.5,254.77000427246094
494199.03125,5420655.0,254.39999389648438
494199.0,5420652.0,254.30999755859375
494198.96875,5420649.0,254.22000122070312
494198.9375,5420646.0,254.08999633789062
494198.90625,5420643.5,253.97999572753906
494198.875,5420640.5,253.8000030517578
494198.84375,5420637.5,253.64999389648438
494198.8125,5420635.0,253.50999450683594
494198.8125,5420632.0,253.16000366210938
494198.75,5420626.5,252.9499969482422
494198.71875,5420623.5,252.72000122070312
494198.6875,5420620.5,252.61000061035156
494198.65625,5420618.0,252.57000732421875
494198.625,5420615.0,252.50999450683594
494198.59375,5420612.0,252.47999572753906
494198.53125,5420609.5,252.50999450683594
494198.90625,5420489.5,251.75999450683594
494198.9375,5420492.5,251.89999389648438
494199.0,5420495.5,251.92999267578125
494199.0625,5420498.5,251.66000366210938
494199.125,5420501.0,251.52000427246094
494199.1875,5420504.0,251.35000610351562
494199.3125,5420509.5,251.16000366210938
494199.34375,5420512.5,251.1699981689453
494199.40625,5420515.5,251.13999938964844
494199.5,5420521.0,251.1300048828125
494199.5625,5420523.5,251.1199951171875
494199.625,5420527.0,251.0800018310547
494199.75,5420535.5,251.77999877929688
494199.78125,5420538.0,252.00999450683594
494199.84375,5420541.0,252.3000030517578
494199.875,5420544.0,252.33999633789062
494199.9375,5420547.0,252.2899932861328
494199.96875,5420549.5,252.5399932861328
494199.96875,5420552.5,253.52000427246094
494200.0,5420555.5,254.5500030517578
494200.03125,5420558.0,255.13999938964844
494200.0625,5420561.0,255.19000244140625
494200.15625,5420564.0,254.38999938964844
494200.28125,5420567.0,253.02000427246094
494200.3125,5420569.5,253.0800018310547
494200.375,5420572.5,253.0399932861328
494200.8125,5420595.5,252.8699951171875
494200.875,5420598.0,252.8000030517578
494200.90625,5420601.0,252.7100067138672
494200.96875,5420604.0,252.64999389648438
494201.03125,5420607.0,252.55999755859375
494201.09375,5420610.0,252.55999755859375
494201.15625,5420613.0,252.5
494201.1875,5420615.5,252.39999389648438
494201.25,5420618.5,252.50999450683594
494201.3125,5420621.5,252.57000732421875
494201.34375,5420624.5,252.64999389648438
494201.40625,5420627.0,252.72000122070312
494201.4375,5420630.0,252.99000549316406
494201.5,5420633.0,253.0500030517578
494201.53125,5420636.0,253.41000366210938
494201.5625,5420638.5,253.74000549316406
494201.625,5420641.5,253.8300018310547
494201.65625,5420644.5,253.97999572753906
494201.71875,5420647.5,254.25
494201.8125,5420653.0,254.47000122070312
494201.875,5420656.0,254.47999572753906
494202.125,5420673.5,255.47999572753906
494202.1875,5420676.5,255.50999450683594
494202.21875,5420679.0,256.30999755859375
494202.375,5420691.0,256.8900146484375
494202.4375,5420694.0,256.9700012207031
494202.5,5420697.0,257.010009765625
494202.53125,5420700.0,257.260009765625
494202.59375,5420702.5,257.57000732421875
494202.625,5420705.5,258.04998779296875
