X,Y,Z
497671.875,5421228.0,309.8900146484375
497671.8125,5421231.0,309.75
497671.71875,5421234.0,309.260009765625
497671.65625,5421236.5,308.9700012207031
497671.5625,5421239.5,308.6099853515625
497671.5,5421242.5,308.2300109863281
497671.40625,5421245.5,307.8999938964844
497671.34375,5421248.5,307.5199890136719
497671.28125,5421251.5,307.2200012207031
497671.1875,5421254.0,306.92999267578125
497671.125,5421257.0,306.5199890136719
497671.0625,5421260.0,306.2799987792969
497670.96875,5421263.0,305.94000244140625
497670.90625,5421266.0,305.6499938964844
497670.84375,5421269.0,305.45001220703125
497670.75,5421272.0,305.0799865722656
497670.65625,5421275.0,304.760009765625
497670.59375,5421278.0,304.6000061035156
497670.53125,5421281.0,304.2799987792969
497670.4375,5421284.0,303.989990234375
497670.375,5421287.0,303.6700134277344
497669.65625,5421289.0,303.5400085449219
497669.71875,5421286.0,303.7699890136719
497669.78125,5421283.5,303.9800109863281
497669.84375,5421280.5,304.2799987792969
497669.875,5421278.0,304.5199890136719
497669.9375,5421275.0,304.8500061035156
497670.0,5421272.0,305.0899963378906
497670.0625,5421269.5,305.3299865722656
497670.125,5421266.5,305.69000244140625
497670.15625,5421264.0,305.9100036621094
497670.21875,5421261.0,306.0899963378906
497670.28125,5421258.5,306.510009765625
497670.34375,5421255.5,306.7699890136719
497670.40625,5421252.5,307.0
497670.46875,5421250.0,307.4700012207031
497670.5,5421247.0,307.7200012207031
497670.5625,5421244.0,308.0400085449219
497670.625,5421241.5,308.30999755859375
497670.6875,5421238.5,308.760009765625
497670.75,5421236.0,308.989990234375
497670.8125,5421233.0,309.44000244140625
497670.875,5421230.5,309.7300109863281
497670.90625,5421227.5,309.8999938964844
497670.96875,5421224.5,310.57000732421875
497671.15625,5421218.5,313.3900146484375
497671.1875,5421216.0,313.3900146484375
497671.3125,5421210.5,313.739990234375
497671.34375,5421207.5,313.8399963378906
497671.40625,5421205.0,313.989990234375
497671.46875,5421202.5,314.239990234375
497671.5,5421199.5,314.2799987792969
497671.5625,5421197.0,314.2900085449219
497671.59375,5421194.5,314.010009765625
497671.625,5421191.5,314.0
